DISC MP4	TRACK	ARTIST	TITLE	LOCATION	FILE	TIME START	TIME END						
7	28	Motoharu San	Shame	Video - Japan	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:51:45.000	01:54:52.000						
7	29	Spandau Ballet	Introduction by Andy Peebles	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:58:00.000	01:58:32.000						
7	30	Spandau Ballet	Only When You Leave	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	01:58:32.000	02:03:54.000						
7	31	Bernard Watson	All I Really Want to Do	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:03:00.000	02:08:00.000						
7	32	Spandau Ballet	Virgin	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:03:54.000	02:08:34.000						
7	33	Bernard Watson	Interview	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:08:00.000	02:12:03.000						
7	34	Spandau Ballet	True	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:08:34.000	02:14:27.000						
7	35	Joan Baez	Introduction by Bill Graham of Jack Nicholson	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:13:00.000	02:13:46.000						
7	36	Joan Baez	Introduction by Jack Nicholson	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:13:46.000	02:15:05.000						
7	37	Joan Baez	Speech	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:15:05.000	02:16:20.000						
7	38	Joan Baez	Amazing Grace	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:16:20.000	02:18:15.000						
7	39	Joan Baez	We Are the World	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:18:15.000	02:20:49.000						
7	40	Elvis Costello	Introduction by Andy Peebles	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:19:00.000	02:19:24.000						
7	41	Elvis Costello	All You Need Is Love	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:19:24.000	02:23:06.000						
7	42	The Hooters	Introduction by Bill Graham of Chevy Chase and Joe Piscopo	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:22:00.000	02:23:30.000						
