DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	10:52:45	10:57:26	1985-07-13	15:52:45	15:57:26	04:04:45	04:09:26	03:57:06	04:01:47	00:04:41	Philadelphia	REO Speedwagon + Beach Boys	Roll with the Changes	
1985-07-13	10:55:00	10:55:58	1985-07-13	15:55:00	15:55:58	04:07:00	04:07:58	03:59:21	04:00:19	00:00:58	Video [USSR]	________	Introduction by Vladimir Posner	
1985-07-13	10:55:58	11:01:17	1985-07-13	15:55:58	16:01:17	04:07:58	04:13:17	04:00:19	04:05:38	00:05:19	Video [USSR]	________	______________	
1985-07-13	11:01:17	11:01:55	1985-07-13	16:01:17	16:01:55	04:13:17	04:13:55	04:05:38	04:06:16	00:00:38	Video [USSR]	________	Speech by Vladimir Posner	
1985-07-13	11:01:55	11:05:56	1985-07-13	16:01:55	16:05:56	04:13:55	04:17:56	04:06:16	04:10:17	00:04:01	Video [USSR]	________	___ _____ ___	
1985-07-13	11:08:00	11:08:20	1985-07-13	16:08:00	16:08:20	04:20:00	04:20:20	04:12:21	04:12:41	00:00:20	London	Bryan Ferry + David Gilmour	Introduction by Andy Peebles	
1985-07-13	11:08:20	11:12:51	1985-07-13	16:08:20	16:12:51	04:20:20	04:24:51	04:12:41	04:17:12	00:04:31	London	Bryan Ferry + David Gilmour	Sensation	
1985-07-13	11:12:00	11:16:57	1985-07-13	16:12:00	16:16:57	04:24:00	04:28:57	04:16:21	04:21:18	00:04:57	Philadelphia	"Crosby, Stills and Nash"	Southern Cross	
1985-07-13	11:12:51	11:17:22	1985-07-13	16:12:51	16:17:22	04:24:51	04:29:22	04:17:12	04:21:43	00:04:31	London	Bryan Ferry + David Gilmour	Boys and Girls	
1985-07-13	11:16:57	11:20:10	1985-07-13	16:16:57	16:20:10	04:28:57	04:32:10	04:21:18	04:24:31	00:03:13	Philadelphia	"Crosby, Stills and Nash"	Teach Your Children	
1985-07-13	11:17:22	11:21:05	1985-07-13	16:17:22	16:21:05	04:29:22	04:33:05	04:21:43	04:25:26	00:03:43	London	Bryan Ferry + David Gilmour	Slave to Love	
1985-07-13	11:20:10	11:28:15	1985-07-13	16:20:10	16:28:15	04:32:10	04:40:15	04:24:31	04:32:36	00:08:05	Philadelphia	"Crosby, Stills and Nash"	Suite: Judy Blue Eyes	
1985-07-13	11:21:05	11:25:54	1985-07-13	16:21:05	16:25:54	04:33:05	04:37:54	04:25:26	04:30:15	00:04:49	London	Bryan Ferry + David Gilmour	Jealous Guy	
1985-07-13	11:27:00	11:27:20	1985-07-13	16:27:00	16:27:20	04:39:00	04:39:20	04:31:21	04:31:41	00:00:20	Video [Germany]	Band Für Afrika	Introduction by Evelyn Selbert and Ken Janz	
