DISC MP4	TRACK	ARTIST	TITLE	LOCATION	TIME START	TIME END	FILE
8	165	David Bowie	Rebel Rebel	London	07:31:22.000	07:34:35.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	166	David Bowie	Modern Love	London	07:34:35.000	07:38:06.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	167	David Bowie	Heroes	London	07:38:06.000	07:44:47.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	168	CBC	Introduction by David Bowie	London	07:44:47.000	07:45:28.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	169	Pretenders	Introduction by Grace Slick	Philadelphia	07:45:21.000	07:45:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	170	CBC	Famine Video	Video	07:45:28.000	07:49:13.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	171	Pretenders	Time the Avenger	Philadelphia	07:45:41.000	07:49:16.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	172	Pretenders	Message of Love	Philadelphia	07:49:16.000	07:52:31.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	173	Pretenders	Stop Your Sobbing	Philadelphia	07:52:31.000	07:54:31.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	174	Pretenders	Back on the Chain Gang	Philadelphia	07:54:31.000	07:58:06.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	175	Pretenders	Middle of the Road	Philadelphia	07:58:06.000	08:02:08.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	176	The Who	Introduction by Jack Nicholson	Philadelphia	08:03:21.000	08:04:34.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	177	The Who	Introduction by Tommy Vance	London	08:04:34.000	08:06:44.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	178	The Who	My Generation [Note: BBC blew a fuse. Broadcast interrupted, band kept playing]	London	08:06:44.000	08:08:24.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	179	The Who	Pinball Wizard [Note: BBC blew a fuse. Broadcast interrupted, band kept playing]	London	08:08:24.000	08:11:26.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	180	The Who	Love, Reign o'er Me	London	08:11:26.000	08:16:13.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	181	The Who	Won't Get Fooled Again	London	08:16:13.000	08:25:38.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	182	Santana	Introduction by Bill Graham	Philadelphia	08:25:21.000	08:25:30.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	183	Santana	Brotherhood	Philadelphia	08:25:30.000	08:28:52.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	184	Santana	Primera Invasion	Philadelphia	08:28:52.000	08:31:03.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
